TIME,GEO,Value,Scaled_Values,Scaled_Values1
2002,Italy,4.6,0.5221339387060159,-0.18449033245627242
2003,Italy,4.72,0.5357548240635641,-0.1087480434364484
2004,Italy,4.56,0.517593643586833,-0.2097377621295471
2005,Italy,4.41,0.5005675368898979,-0.3044156234043267
2006,Italy,4.67,0.5300794551645857,-0.1403073305280416
2007,Italy,4.27,0.48467650397275813,-0.39278162726078836
2008,Italy,4.56,0.517593643586833,-0.2097377621295471
2009,Italy,4.7,0.5334846765039728,-0.12137175827308545
2010,Italy,4.5,0.510783200908059,-0.2476089066394588
2011,Italy,4.29,0.48694665153234956,-0.3801579124241507
2000,Cyprus,5.42,0.6152099886492621,0.33308197584585814
2001,Cyprus,5.98,0.6787741203178207,0.6865459912717036
2002,Cyprus,6.6,0.7491486946651531,1.0778811512074602
2003,Cyprus,7.37,0.8365493757094211,1.5638941724179976
2004,Cyprus,6.77,0.7684449489216798,1.1851827273188773
2005,Cyprus,6.95,0.7888762769580022,1.2987961608486136
2006,Cyprus,7.02,0.796821793416572,1.342979162776844
2007,Cyprus,6.95,0.7888762769580022,1.2987961608486136
2008,Cyprus,7.45,0.8456299659477866,1.6143890317645468
2009,Cyprus,7.98,0.905788876276958,1.948917474935436
2010,Cyprus,7.92,0.8989784335981839,1.9110463304255239
2011,Cyprus,7.87,0.8933030646992054,1.8794870433339306
2000,Latvia,5.64,0.6401816118047673,0.4719428390488686
2001,Latvia,7.22,0.8195232690124857,1.4692163111432173
2002,Latvia,6.6,0.7491486946651531,1.0778811512074602
2003,Latvia,5.58,0.6333711691259931,0.43407169453895683
2004,Latvia,5.12,0.5811577752553916,0.14372625329629835
2005,Latvia,5.14,0.5834279228149829,0.15634996813293542
2006,Latvia,5.13,0.5822928490351872,0.15003811071461687
2007,Latvia,5.07,0.5754824063564131,0.11216696620470515
2008,Latvia,5.71,0.6481271282633371,0.5161258409770993
2009,Latvia,5.59,0.6345062429057888,0.44038355195727535
2010,Latvia,4.96,0.5629965947786606,0.042736534603199657
2011,Latvia,4.96,0.5629965947786606,0.042736534603199657
2000,Lithuania,5.63,0.6390465380249716,0.46563098163055
2001,Lithuania,5.86,0.6651532349602725,0.6108037022518795
2002,Lithuania,5.81,0.6594778660612939,0.5792444151602858
2003,Lithuania,5.14,0.5834279228149829,0.15634996813293542
